精灵,分类,第一属性,第二属性,赛季
治愈兔,常驻精灵,火,萌,S1
大耳帽兜,常驻精灵,冰,萌,S1
呼呼猪,常驻精灵,冰,地,S1
格兰种子,常驻精灵,草,,S1
奇丽草,常驻精灵,草,,S1
拉特,常驻精灵,电,,S1
恶魔狼,常驻精灵,恶,,S1
机械方方,常驻精灵,机械,,S1
贝瑟,赛季奇遇,机械,火,S1
月牙雪熊,赛季奇遇,冰,幻,S1
粉星仔,赛季奇遇,电,幻,S1
嗜光嗡嗡,赛季奇遇,恶,光,S1
双灯鱼,赛季奇遇,水,电,S1
柴渣虫,赛季奇遇,火,草,S1
粉粉星,赛季奇遇,幻,,S1
空空颅,赛季奇遇,幽,,S1
灵狐,常驻精灵,火,冰,S2
幽影树,常驻精灵,幽,草,S2
恶魔叮,常驻精灵,恶,翼,S2
嘟嘟煲,常驻精灵,毒,,S2
菊花梨,常驻精灵,萌,,S2
公平鸽,常驻精灵,普通,,S2
小夜,常驻精灵,恶,,S2
小独角兽,常驻精灵,光,,S2
烟花团,赛季奇遇,火,毒,S2
炫光迪迪,赛季奇遇,电,光,S2
猴麦仔,赛季奇遇,普通,机械,S2
加油海葵,赛季奇遇,水,萌,S2
小丑豆豆,赛季奇遇,恶,,S2
小鼓象,赛季奇遇,机械,,S2
牵线木偶,赛季奇遇,幻,,S2
咕咕帽,赛季奇遇,幽,,S2
蝴蝶陶陶,赛季奇遇,萌,,S3
苞米仔,赛季奇遇,草,火,S3
十字蝌蚪,赛季奇遇,水,,S3
卡波,赛季奇遇,恶,,S3
守夜烛,赛季奇遇,火,光,S3
蜜果骸,赛季奇遇,幽,草,S3
稻草人,赛季奇遇,萌,武,S3
栗鼠,赛季奇遇,毒,普通,S3
伊贝儿,常驻奇遇,草,,S3
海盔虫,常驻奇遇,水,毒,S3
海盔虫（磨损的样子）,常驻奇遇,水,毒,S3
小草虫,常驻奇遇,虫,草,S3
斑斑,常驻奇遇,翼,,S3
小鹬,常驻奇遇,翼,,S3
豆丁鱼,常驻奇遇,水,龙,S3
可立鸡,常驻奇遇,萌,,S3
地鼠（枯水期的样子）,常驻奇遇,地,,S3
地鼠（储水时的样子）,常驻奇遇,地,,S3
